company,country,city,email,website,verified_source_url,product_fit,priority_A_B_C,notes
Travel Knits,Bahrain,Manama,info@travelknits.com,https://travelknits.com,https://travelknits.com/holiday-tour-packages,GCC-CIS,A,IATA; ACTIVE Kazakhstan 3N4D + Azerbaijan + Georgia + Moscow packages (Vacanza holiday division); MICE; email info@travelknits.com shown site-wide
DeWonder Travel,Hong Kong,Sheung Wan,info@dewonder.travel,https://dewonder.travel,https://dewonder.travel/central-asia/,Central Asia,A,Silk Road specialist; small team Central Asia depth tours
EGL Tours,Hong Kong,Mong Kok,egltours@egltours.com,https://www.egltours.com,https://www.egltours.com,Central Asia,A,Major HK outbound; Europe Central Asia Africa group tours
Shikhar Travels India,India,New Delhi,tours@shikhar.com,https://www.shikhar.com,https://www.shikhar.com/contact-us,GCC-CIS,A,"IATA, Govt-recognized; guaranteed fixed departures, MICE arm; sells Almaty Kazakhstan tour package (from Dubai page); 34 associate offices"
TripsTide Pvt Ltd,India,Noida,sales@tripstide.com,https://tripstide.com,https://tripstide.com/,GCC-CIS,A,B2B DMC CIS specialist; Kazakhstan fixed departures
Adinda Azzahra Tour & Travel,Indonesia,Jakarta,contact@adindaazzahra.com,https://adindaazzahra.id,https://adindaazzahra.id/wisata-muslim-turki-uzbekistan-kazakhstan/,Halal-KZ,A,HALAL Muslim tours; 9-day Turkey+Uzbekistan+Kazakhstan wisata muslim program; group departures
Five Star Club (Japan),Japan,Tokyo,info@fivestar-club.co.jp,https://www.fivestar-club.jp,https://www.fivestar-club.jp/tour/?tcd=7UK72-AOZ-X,Central Asia,A,Kazakhstan specialist; 130+ KZ tour courses; group 19 pax bus tours
Indus Travel Co.,Japan,Tokyo,industokyo@indus-travel.com,https://www.indus-travel.com,https://www.otoa.com/english/full_member/detail.php?serial=297,Central Asia,A,OTOA member; territory includes Kazakhstan Uzbekistan Kyrgyzstan
Travelon Tours & Travels,Kuwait,Kuwait City,info@travelontourskw.com,https://travelontourskw.com,https://travelontourskw.com/contact-us-2/,GCC-CIS,A,IATA (2018); dedicated Kazakhstan destination page + Georgia/Azerbaijan; has Become-Our-Partner B2B page
Mahira Travel & Tours,Malaysia,Kuala Lumpur,booking@mahiratravels.com,https://mahiratravels.com,https://mahiratravels.com/,Halal-KZ,A,"HALAL specialist (KPK/LN 7744, since 2008); 11D10N Uzbekistan+Kazakhstan+Kyrgyzstan '3 Stan' group package RM13,998; group tours min 2 pax to join"
Air Travel & Tours (ATT),Oman,Muscat,info@attomantours.com,https://www.attomantours.com,https://www.attomantours.com/contact-us,GCC-CIS,A,Outbound holidays dept; active Azerbaijan (CIS) outbound package page; Oman-wide operations
Al Hashar Travels,Oman,Muscat,holidays@alhashartravels.com,https://www.alhashartravels.com,https://www.alhashartravels.com/contact-us/,GCC-CIS,A,WTA Oman's Leading Travel Agency 2023-2025; dedicated Holiday Division; Azerbaijan+Georgia+Bosnia package lines; 11 branches; also sales@alhashartravels.com
Aataa Holidays,Qatar,Doha,info@aataaholidays.com,https://aataaholidays.com,https://aataaholidays.com/contact-us/,GCC-CIS,A,Doha HQ + branch; holiday packages; Georgia + Azerbaijan destination lines; 24/7 service; alt contact@aataaholidays.com
Saraya Travel,Saudi Arabia,Riyadh,Ahmed.hagag@sarayatravel.net,https://sarayatravel.sa,https://sarayatravel.sa/contact-us/,GCC-CIS,A,Arabic-capable; tour organization service; destination list includes Uzbekistan + Russia; Azerbaijan 9-day package page; licensed KSA agency
Tarteeb Travel,Saudi Arabia,Riyadh,info@tarteebtravel.com,https://tarteebtravel.com,https://tarteebtravel.com/,GCC-CIS,A,Arabic-capable; Azerbaijan + Georgia + Bosnia program lines; email decoded from Cloudflare-protected footer on homepage
Wejhats Travel & Tourism,Saudi Arabia,Riyadh (+Khobar/Dammam),info@wejhats.com,https://wejhats.com,https://wejhats.com/contact-us/,GCC-CIS,A,Arabic-capable; outbound travel packages (بكجات); Azerbaijan-for-Saudis content; corporate requests page; 3 branches
Hamidah Travel & Tours,Singapore,Singapore,info@hamidahtravel.com.sg,https://hamidahtravel.com.sg,https://hamidahtravel.com.sg/contact-us/,Halal-KZ,A,HALAL/Muslim agency (TA 01354); halal tour packages + umrah/hajj; 2025 tour line includes Central Asia-friendly halal programs
CIS Tour (Korea),South Korea,Almaty/Seoul desk,info@cis-tour.com,http://cis-tour.com,http://cis-tour.com/about,KZ+CA,A,Korean-managed Central Asia specialist; Kazakhstan packages
Small Star Tour (Jageunbyeol),South Korea,Seoul,smallstar@smallstartour.com,https://smallstartour.com,https://smallstartour.com/package/ttt_12days/,KZ+CA,A,12-day Central Asia TTT group series
Very Good Tour (Korea),South Korea,Seoul,info@verygoodtour.com,https://www.verygoodtour.com,https://www.verygoodtour.com,KZ+CA,A,Major KR outbound; Central Asia product search on site
AFC Holidays,UAE,Dubai,mail@afcholidays.com,https://www.afcholidays.com,https://www.afcholidays.com/contact-us,GCC-CIS,A,"UAE's 1st escorted group tour company, 28 yrs, 5500+ group departures; Kazakhstan/Uzbekistan/Kyrgyzstan pages; MICE; Arabic among service languages"
Holidaymakers,UAE,"Sharjah (+Dubai, Abu Dhabi)",support@holidaymakers.com,https://holidaymakers.com,https://holidaymakers.com/contact-us,GCC-CIS,A,Multi-branch UAE package operator; KZ/UZ/KG in destinations; group enquiry supports up to 50 adults
Sabsan Holidays,UAE,Sharjah,contact@sabsanholidays.com,https://www.sabsanholidays.com,https://www.sabsanholidays.com/contact-us/,GCC-CIS,A,"SHAMS-licensed; destination lines: Uzbekistan, Kyrgyzstan, Azerbaijan, Armenia, Georgia; UAE+India offices"
Taal Tourism,UAE,Dubai,ask@taaltourism.com,https://taaltourism.com,https://taaltourism.com/kazakhstan-tour-package-from-uae,4N-Almaty,A,Active Almaty package (Kolsai/Charyn); fixed packages line; email in site footer
ARS Islamic Tours,USA (Tier B - Muslim market),Chicago,info@arsitours.com,https://www.arsitours.com,https://www.arsitours.com/contact-us,Halal-KZ,A,HALAL Islamic heritage group tours; active Uzbekistan program + Balkans; custom packages; alt saba.arsitours@gmail.com
Go Russia Ltd,United Kingdom,London,info@justgorussia.co.uk,https://www.justgorussia.co.uk,https://www.justgorussia.co.uk/pdf/SR-08.pdf,5-Stans,A,5-Stans Silk Road group tour SR-08; Kazakhstan segment
Wendy Wu Tours UK,United Kingdom,London,info@wendywutours.co.uk,https://www.wendywutours.co.uk,https://www.wendywutours.co.uk/contact-us,Central Asia,A,Journey through Central Asia 27D group incl. Almaty
Wild Frontiers Travel,United Kingdom,London,info@wildfrontierstravel.com,https://www.wildfrontierstravel.com,https://www.wildfrontierstravel.com/en_GB/contact-us,Central Asia,A,Small group max 12; Kazakhstan destination expert
Steppes Travel,United Kingdom,Cirencester,info@steppestravel.com,https://www.steppestravel.com,https://www.steppestravel.com,Central Asia,A,Central Asia Silk Route expert-led group tours
Exodus Adventure Travels,United Kingdom,London,privatedepartures@exodus.co.uk,https://www.exodus.co.uk,https://www.exodustravels.com/private-group-holidays,Central Asia,A,ATOL 2582; private group departures desk; Asia/Central Asia tours
Regent Holidays,United Kingdom,Bristol,regent@regentholidays.co.uk,https://www.regent-holidays.co.uk,https://www.regent-holidays.co.uk/assets/Booking%20Conditions/Regent%20Tours%2020%20May%202022%20-%20Booking%20Conditions.pdf,Central Asia,A,50+ yrs group tours; Central Asia/Silk Road programs
DH Travel (Du Lich Quoc Te DH),Vietnam,Ho Chi Minh City,director@dhtravel.com.vn,https://dhtravel.com.vn,https://dhtravel.com.vn/tour-trung-a-kham-pha-con-duong-to-lua-huyen-thoai-dip-tet-ba-tu-nowruz,Central Asia,A,22D21N 5-Stans group departure Mar 2026; Kazakhstan Almaty segment
VGC Travel,Vietnam,Hanoi,info@vgctravel.com.vn,https://vgctravel.com.vn,https://vgctravel.com.vn,Central Asia,A,5-Stans Silk Road group tour Oct 2026
Mai Tours,Vietnam,Hanoi,info@maitours.vn,https://maitours.vn,https://maitours.vn,Central Asia,A,9D8N Kazakhstan-Kyrgyzstan Heart of Central Asia package
Vietrantour,Vietnam,Hanoi,booking@vietrantour.com.vn,https://vietrantour.com.vn,https://vietrantour.com.vn/kazakhstan,Central Asia,A,5-Stans Silk Road discovery package from Hanoi
Le Phong Travel,Vietnam,Ho Chi Minh City,info@lephongtravel.com.vn,https://lephongtravel.com.vn,https://lephongtravel.com.vn/kazakhstan-kyrgyzstan,Central Asia,A,9N8D Kazakhstan-Kyrgyzstan since 1995
Authentic Asia,Vietnam,Hanoi,sales@authentic-asia.com,https://authentic-asia.com,https://authentic-asia.com/contact-us,Central Asia,A,B2B DMC/outbound; Kazakhstan in destination list
HaloBay Travel,Vietnam,Ho Chi Minh City,info@halobay.vn,https://www.halobay.vn,https://www.halobay.vn,Central Asia,A,10N9D Kazakhstan-Kyrgyzstan all-inclusive group
Premier Tour Vietnam,Vietnam,Ho Chi Minh City,info@premiertour.com.vn,https://premiertour.com.vn,https://premiertour.com.vn,Central Asia,A,Outbound package operator; Central Asia product lines
Lef El Donia Travel,Egypt,Cairo,info@lefeldonia.com,https://www.lefeldonia.com,https://www.lefeldonia.com/,Multi-destination,B,Outgoing travel from Egypt; international group programs
Dook International (Dook Travels),India,New Delhi/Noida,sales@dooktravels.com,https://www.dookinternational.com,https://www.dookinternational.com/contact-us,GCC-CIS,B,"India's leading CIS/Central Asia outbound specialist (13 yrs, IATA); group tours + MICE; partial competitor note"
SOTC Travel,India,Mumbai,groups@sotc.in,https://www.sotc.in,https://www.sotc.in,GCC-CIS,B,Group holidays desk; MICE incentive.travel@sotc.in already contacted
Hayatun Tour,Indonesia,Jakarta,info@hayatuntour.com,https://www.hayatuntour.com,https://www.hayatuntour.com/paket/paket-tour-uzbekistan-8-hari-halal-hayatun-tour-2026/,Halal-KZ,B,Halal Uzbekistan 8D; hayatuntour@gmail.com blocked
Cheria Holiday (PT Cheria),Indonesia,Jakarta,info@cheria-travel.com,https://www.cheria-travel.com,https://www.cheria-travel.com/p/peluang.html,Halal-KZ,B,IATA halal outbound; partnership page for group tours
Petra Travel & Tourism (Jordan),Jordan,Amman,info@petratravel.com,https://www.petratravel.com,https://www.petratravel.com,Multi-destination,B,Jordan outbound/incoming; group tour operator
Petra Travel and Tourism Co.,Jordan,Amman,awni.kawar@petratours.com,https://www.petratours.com,https://international.visitjordan.com/page/26/Tour-Operators,Multi-destination,B,55 yrs Jordan operator; MICE/outbound per Visit Jordan directory
Go Jordan Travel and Tourism,Jordan,Amman,info@gojordantours.com,https://www.gojordantours.com,https://international.visitjordan.com/page/26/Tour-Operators,Multi-destination,B,Outbound/incoming Jordan operator; Visit Jordan listed
Jordan Tours & Travel,Jordan,Amman,sales@jordantour-travel.com,https://www.jordantours-travel.com,https://international.visitjordan.com/page/26/Tour-Operators,Multi-destination,B,Outbound/group desk per Visit Jordan operator list
KOP Travel,Malaysia,Kuala Lumpur,info@koptravel.com.my,https://www.koptravel.com.my,https://www.koptravel.com.my,Halal-KZ,B,MATTA member outbound operator
