company,country,city,email,website,verified_source_url,product_fit,priority_A_B_C,notes
Gulliver Holidays,United Arab Emirates,Dubai,info@gulliverholidays.com,https://gulliverholidays.com,https://gulliverholidays.com/contact/,GCC-Almaty,A,DED/DTCM Dubai agency; Kazakhstan packages + group/corporate desk; email on contact
Travelwings UAE,United Arab Emirates,Dubai,holidays@travelwings.com,https://www.travelwings.com,https://www.travelwings.com/ae/en/holidays/kazakhstan-packages.html,GCC-Almaty,A,Kazakhstan holiday packages from UAE; holidays@ on product page
Unseen Voyages,United Arab Emirates,Dubai,hey@unseenvoyages.com,https://www.unseenvoyages.com,https://www.unseenvoyages.com/,GCC-Almaty,A,Fixed Almaty group departures (Apr); Kazakhstan destination listed; hey@ on site
Al-Maalem Travel,Saudi Arabia,Qatif,info@almaalemtravel.com,https://almaalemtravel.com,https://almaalemtravel.com/trips/kazakhstan,GCC-Almaty,A,Almaty winter group from Dammam; info@ on site footer; license 73100626
Regency Holidays (SA),Saudi Arabia,Riyadh,sales@regencytravelandtours.com,https://www.regencyholidays.com,https://www.regencyholidays.com/en-sa/packages/almaty-tour-packages/,GCC-Almaty,A,Multiple Almaty packages from Saudi; sales@ on SA contact
ZFB Travel,Malaysia,Kuala Lumpur,info@zfbtravel.com,https://zfbtravel.com,https://zfbtravel.com/contact,Halal-KZ,A,MOTAC KPL/LN 12070; confirmed UZ+KG+KZ departures Sep/Oct 2026; email on contact
Al-Mukminin Travel & Tours,Malaysia,Shah Alam,info@almukminin.com,https://almukminin.com,https://almukminin.com/muslim-tour-uzbekistan-kyrgyzstan-kazakhstan/,Halal-KZ,A,Muslim Silk Road with Almaty segment; info@ + almukminin_tt@yahoo.com on product page
Smart Holidays (Roystar Travel),Malaysia,Kuala Lumpur,tour@roystartravel.com.my,https://smartholidays.com.my,https://smartholidays.com.my/contact-us/,Halal-KZ,A,10D Almaty-China packages; tour@roystartravel.com.my on contact; group 16+
Refreshing Holidays,United Arab Emirates,Dubai,enquiry@refreshingholidays.com,https://www.refreshingholidays.com,https://www.refreshingholidays.com/package-details.php?DID=Almaty_Kolsay-Lake,GCC-Almaty,A,Almaty+Kolsay lakes package with flights; enquiry@ on site
Carnation Travels,India,Delhi,info@carnationtravels.com,https://www.carnationtravels.com,https://www.carnationtravels.com/contact-us.php,India-Almaty,A,Almaty + combo packages listed; info@ on contact
Rens Tourism,India,India,support@renstourism.com,https://renstourism.com,https://renstourism.com/almaty-tour-packages,India-Almaty,A,Almaty tour packages 2026; support@ on contact/product
LTA Tours,India,India,info@ltatours.com,https://ltatours.com,https://ltatours.com/trip/almaty-kazakhstan-tour-package/,India-Almaty,A,Almaty Kazakhstan tour package; info@ on contact
PickYourTrail,India,India,planners@pickyourtrail.com,https://pickyourtrail.com,https://pickyourtrail.com/,India-group,B,Custom trip planners desk; planners@ on site; India groups to new dests
Patagonya Travel,Turkey,Istanbul,info@patagonyatravel.com,https://www.patagonyatravel.com,https://www.patagonyatravel.com/,TR-OrtaAsya,A,Orta Asya May 2026 with Almaty segment; info@ on site
Fuar Turlari (Delta Expo),Turkey,Istanbul,info@fuarturlari.com,https://www.fuarturlari.com,https://www.fuarturlari.com/,TR-OrtaAsya,A,Almaty fair/group packages (SHOESSTAR etc); info@ on site; group/MICE fit
TTF Turizm,Turkey,Istanbul,info@ttf.com.tr,https://ttf.com.tr,https://ttf.com.tr/,TR-OrtaAsya,A,Almaty Central Asia Fashion fair group packages; info@ on iletisim
Muslimcation Travel & Tours,Malaysia,Kuala Lumpur,muslimtravelplanner@gmail.com,https://muslimcation.com,https://muslimcation.com/,Halal-Asia,B,MOTAC Muslim outbound agency; email on site; expand to KZ/halal CA
Hong Thai Tours Malaysia,Malaysia,Kuala Lumpur,tour@hongthaitours.com.my,https://smartholidays.com.my,https://smartholidays.com.my/contact-us/,Asia-group,B,Sister desk to Roystar; Almaty products via Smart Holidays; tour@ on contact
