company,country,city,email,website,verified_source_url,product_fit,priority_A_B_C,notes
DH Travel (Du Lich Quoc Te DH),Vietnam,Ho Chi Minh City,director@dhtravel.com.vn,https://dhtravel.com.vn,https://dhtravel.com.vn/tour-trung-a-kham-pha-con-duong-to-lua-huyen-thoai-dip-tet-ba-tu-nowruz,Central Asia,A,22D21N 5-Stans group departure Mar 2026; Kazakhstan Almaty segment
VGC Travel,Vietnam,Hanoi,info@vgctravel.com.vn,https://vgctravel.com.vn,https://vgctravel.com.vn,Central Asia,A,5-Stans Silk Road group tour Oct 2026
Mai Tours,Vietnam,Hanoi,info@maitours.vn,https://maitours.vn,https://maitours.vn,Central Asia,A,9D8N Kazakhstan-Kyrgyzstan Heart of Central Asia package
Vietrantour,Vietnam,Hanoi,booking@vietrantour.com.vn,https://vietrantour.com.vn,https://vietrantour.com.vn/kazakhstan,Central Asia,A,5-Stans Silk Road discovery package from Hanoi
Le Phong Travel,Vietnam,Ho Chi Minh City,info@lephongtravel.com.vn,https://lephongtravel.com.vn,https://lephongtravel.com.vn/kazakhstan-kyrgyzstan,Central Asia,A,9N8D Kazakhstan-Kyrgyzstan since 1995
Authentic Asia,Vietnam,Hanoi,sales@authentic-asia.com,https://authentic-asia.com,https://authentic-asia.com/contact-us,Central Asia,A,B2B DMC/outbound; Kazakhstan in destination list
HaloBay Travel,Vietnam,Ho Chi Minh City,info@halobay.vn,https://www.halobay.vn,https://www.halobay.vn,Central Asia,A,10N9D Kazakhstan-Kyrgyzstan all-inclusive group
Premier Tour Vietnam,Vietnam,Ho Chi Minh City,info@premiertour.com.vn,https://premiertour.com.vn,https://premiertour.com.vn,Central Asia,A,Outbound package operator; Central Asia product lines
CIS Tour (Korea),South Korea,Almaty/Seoul desk,info@cis-tour.com,http://cis-tour.com,http://cis-tour.com/about,KZ+CA,A,Korean-managed Central Asia specialist; Kazakhstan packages
Small Star Tour (Jageunbyeol),South Korea,Seoul,smallstar@smallstartour.com,https://smallstartour.com,https://smallstartour.com/package/ttt_12days/,KZ+CA,A,12-day Central Asia TTT group series
Five Star Club (Japan),Japan,Tokyo,info@fivestar-club.co.jp,https://www.fivestar-club.jp,https://www.fivestar-club.jp/tour/?tcd=7UK72-AOZ-X,Central Asia,A,Kazakhstan specialist; 130+ KZ tour courses; group 19 pax bus tours
Indus Travel Co.,Japan,Tokyo,industokyo@indus-travel.com,https://www.indus-travel.com,https://www.otoa.com/english/full_member/detail.php?serial=297,Central Asia,A,OTOA member; territory includes Kazakhstan Uzbekistan Kyrgyzstan
Very Good Tour (Korea),South Korea,Seoul,info@verygoodtour.com,https://www.verygoodtour.com,https://www.verygoodtour.com,KZ+CA,A,Major KR outbound; Central Asia product search on site
TripsTide Pvt Ltd,India,Noida,sales@tripstide.com,https://tripstide.com,https://tripstide.com/,GCC-CIS,A,B2B DMC CIS specialist; Kazakhstan fixed departures
SOTC Travel,India,Mumbai,groups@sotc.in,https://www.sotc.in,https://www.sotc.in,GCC-CIS,B,Group holidays desk; MICE incentive.travel@sotc.in already contacted
Pan Pacific Travel,Philippines,Makati,info@panpacifictravel.com.ph,https://www.panpacifictravel.com.ph,https://www.panpacifictravel.com.ph/contact-us,Central Asia,B,IATA; outbound group tours
Travelite Express,Philippines,Makati,info@travelite.com.ph,https://www.travelite.com.ph,https://www.travelite.com.ph/contact-us,Central Asia,B,Outbound GIT specialist Philippines
MNG Turizm,Turkey,Istanbul,info@mngturizm.com,https://www.mngturizm.com,https://www.mngturizm.com/iletisim,Multi-destination,B,A-Group IATA tour operator; Uzbekistan-Kazakhstan Silk Road packages
Petra Travel & Tourism (Jordan),Jordan,Amman,info@petratravel.com,https://www.petratravel.com,https://www.petratravel.com,Multi-destination,B,Jordan outbound/incoming; group tour operator
Atlas Voyages (Morocco),Morocco,Casablanca,contact@atlasvoyages.com,https://www.atlasvoyages.com,https://www.atlasvoyages.com,Multi-destination,B,Leading Moroccan TMC; outbound group travel
Go Russia Ltd,United Kingdom,London,info@justgorussia.co.uk,https://www.justgorussia.co.uk,https://www.justgorussia.co.uk/pdf/SR-08.pdf,5-Stans,A,5-Stans Silk Road group tour SR-08; Kazakhstan segment
Wendy Wu Tours UK,United Kingdom,London,info@wendywutours.co.uk,https://www.wendywutours.co.uk,https://www.wendywutours.co.uk/contact-us,Central Asia,A,Journey through Central Asia 27D group incl. Almaty
Wild Frontiers Travel,United Kingdom,London,info@wildfrontierstravel.com,https://www.wildfrontierstravel.com,https://www.wildfrontierstravel.com/en_GB/contact-us,Central Asia,A,Small group max 12; Kazakhstan destination expert
Steppes Travel,United Kingdom,Cirencester,info@steppestravel.com,https://www.steppestravel.com,https://www.steppestravel.com,Central Asia,A,Central Asia Silk Route expert-led group tours
DeWonder Travel,Hong Kong,Sheung Wan,info@dewonder.travel,https://dewonder.travel,https://dewonder.travel/central-asia/,Central Asia,A,Silk Road specialist; small team Central Asia depth tours
EGL Tours,Hong Kong,Mong Kok,egltours@egltours.com,https://www.egltours.com,https://www.egltours.com,Central Asia,A,Major HK outbound; Europe Central Asia Africa group tours
Hayatun Tour,Indonesia,Jakarta,info@hayatuntour.com,https://www.hayatuntour.com,https://www.hayatuntour.com/paket/paket-tour-uzbekistan-8-hari-halal-hayatun-tour-2026/,Halal-KZ,B,Halal Uzbekistan 8D; hayatuntour@gmail.com blocked
KOP Travel,Malaysia,Kuala Lumpur,info@koptravel.com.my,https://www.koptravel.com.my,https://www.koptravel.com.my,Halal-KZ,B,MATTA member outbound operator
EU Holidays,Singapore,Singapore,enquiry@euholidays.com.sg,https://www.euholidays.com.sg,https://www.euholidays.com.sg/contact-us,Central Asia,B,sales@euholidays.com.sg blocked; enquiry desk
Asia Exotic Expeditions,Singapore,Singapore,tours@asiaexotic.com,https://www.asiaexotic.com,https://www.asiaexotic.com,Central Asia,B,admin@asia-expeditions.org blocked; different entity
Nam Ho Travel,Singapore,Singapore,info@namho.com.sg,https://www.namho.com.sg,https://www.namho.com.sg/contact-us,Central Asia,B,Major SG outbound NATAS member
Blue Horizons Travel & Tours Inc.,Philippines,Makati,info@bluehorizons.travel,https://bluehorizons.travel,https://bluehorizons.travel/,Central Asia,B,IATA outbound since 1981; international group tours
Adventure International Tours (AITI),Philippines,Makati,reservations@tdgtravel.ph,https://adventuretravel.ph,https://adventuretravel.ph/ContactUs/13,Central Asia,B,Outbound GIT; Makati/BGC/Cebu offices
