company,country,city,email,website,contact_name,segment,source_url,verified,notes
DH Travel (Du Lich Quoc Te DH),Vietnam,Ho Chi Minh City,director@dhtravel.com.vn,https://dhtravel.com.vn,,Vietnam-outbound,https://dhtravel.com.vn/tour-trung-a-kham-pha-con-duong-to-lua-huyen-thoai-dip-tet-ba-tu-nowruz,Y,22D21N 5-Stans group departure Mar 2026; Kazakhstan Almaty segment
VGC Travel,Vietnam,Hanoi,info@vgctravel.com.vn,https://vgctravel.com.vn,,Vietnam-outbound,https://vgctravel.com.vn,Y,5-Stans Silk Road group tour Oct 2026
Mai Tours,Vietnam,Hanoi,info@maitours.vn,https://maitours.vn,,Vietnam-outbound,https://maitours.vn,Y,9D8N Kazakhstan-Kyrgyzstan Heart of Central Asia package
Vietrantour,Vietnam,Hanoi,booking@vietrantour.com.vn,https://vietrantour.com.vn,,Vietnam-outbound,https://vietrantour.com.vn/kazakhstan,Y,5-Stans Silk Road discovery package from Hanoi
Le Phong Travel,Vietnam,Ho Chi Minh City,info@lephongtravel.com.vn,https://lephongtravel.com.vn,,Vietnam-outbound,https://lephongtravel.com.vn/kazakhstan-kyrgyzstan,Y,9N8D Kazakhstan-Kyrgyzstan since 1995
Authentic Asia,Vietnam,Hanoi,sales@authentic-asia.com,https://authentic-asia.com,,Vietnam-outbound,https://authentic-asia.com/contact-us,Y,B2B DMC/outbound; Kazakhstan in destination list
HaloBay Travel,Vietnam,Ho Chi Minh City,info@halobay.vn,https://www.halobay.vn,,Vietnam-outbound,https://www.halobay.vn,Y,10N9D Kazakhstan-Kyrgyzstan all-inclusive group
Premier Tour Vietnam,Vietnam,Ho Chi Minh City,info@premiertour.com.vn,https://premiertour.com.vn,,Vietnam-outbound,https://premiertour.com.vn,Y,Outbound package operator; Central Asia product lines
CIS Tour (Korea),South Korea,Almaty/Seoul desk,info@cis-tour.com,http://cis-tour.com,,Korea-outbound,http://cis-tour.com/about,Y,Korean-managed Central Asia specialist; Kazakhstan packages
Small Star Tour (Jageunbyeol),South Korea,Seoul,smallstar@smallstartour.com,https://smallstartour.com,,Korea-outbound,https://smallstartour.com/package/ttt_12days/,Y,12-day Central Asia TTT group series
Five Star Club (Japan),Japan,Tokyo,info@fivestar-club.co.jp,https://www.fivestar-club.jp,,Asia-group,https://www.fivestar-club.jp/tour/?tcd=7UK72-AOZ-X,Y,Kazakhstan specialist; 130+ KZ tour courses; group 19 pax bus tours
Indus Travel Co.,Japan,Tokyo,industokyo@indus-travel.com,https://www.indus-travel.com,,Asia-group,https://www.otoa.com/english/full_member/detail.php?serial=297,Y,OTOA member; territory includes Kazakhstan Uzbekistan Kyrgyzstan
Very Good Tour (Korea),South Korea,Seoul,info@verygoodtour.com,https://www.verygoodtour.com,,Korea-outbound,https://www.verygoodtour.com,Y,Major KR outbound; Central Asia product search on site
TripsTide Pvt Ltd,India,Noida,sales@tripstide.com,https://tripstide.com,,India-group,https://tripstide.com/,Y,B2B DMC CIS specialist; Kazakhstan fixed departures
