company,country,city,email,website,verified_source_url,product_fit,priority_A_B_C,notes
Travel Knits,Bahrain,Manama,info@travelknits.com,https://travelknits.com,https://travelknits.com/holiday-tour-packages,GCC-CIS,A,IATA; ACTIVE Kazakhstan 3N4D + Azerbaijan + Georgia + Moscow packages (Vacanza holiday division); MICE; email info@travelknits.com shown site-wide
Travelon Tours & Travels,Kuwait,Kuwait City,info@travelontourskw.com,https://travelontourskw.com,https://travelontourskw.com/contact-us-2/,GCC-CIS,A,IATA (2018); dedicated Kazakhstan destination page + Georgia/Azerbaijan; has Become-Our-Partner B2B page
Air Travel & Tours (ATT),Oman,Muscat,info@attomantours.com,https://www.attomantours.com,https://www.attomantours.com/contact-us,GCC-CIS,A,Outbound holidays dept; active Azerbaijan (CIS) outbound package page; Oman-wide operations
Al Hashar Travels,Oman,Muscat,holidays@alhashartravels.com,https://www.alhashartravels.com,https://www.alhashartravels.com/contact-us/,GCC-CIS,A,WTA Oman's Leading Travel Agency 2023-2025; dedicated Holiday Division; Azerbaijan+Georgia+Bosnia package lines; 11 branches; also sales@alhashartravels.com
Aataa Holidays,Qatar,Doha,info@aataaholidays.com,https://aataaholidays.com,https://aataaholidays.com/contact-us/,GCC-CIS,A,Doha HQ + branch; holiday packages; Georgia + Azerbaijan destination lines; 24/7 service; alt contact@aataaholidays.com
Saraya Travel,Saudi Arabia,Riyadh,Ahmed.hagag@sarayatravel.net,https://sarayatravel.sa,https://sarayatravel.sa/contact-us/,GCC-CIS,A,Arabic-capable; tour organization service; destination list includes Uzbekistan + Russia; Azerbaijan 9-day package page; licensed KSA agency (رخصة 73106631)
Tarteeb Travel,Saudi Arabia,Riyadh,info@tarteebtravel.com,https://tarteebtravel.com,https://tarteebtravel.com/,GCC-CIS,A,Arabic-capable; Azerbaijan + Georgia + Bosnia program lines; email decoded from Cloudflare-protected footer on homepage
Wejhats Travel & Tourism,Saudi Arabia,Riyadh (+Khobar/Dammam),info@wejhats.com,https://wejhats.com,https://wejhats.com/contact-us/,GCC-CIS,A,Arabic-capable; outbound travel packages (بكجات); Azerbaijan-for-Saudis content; corporate requests page; 3 branches
AFC Holidays,UAE,Dubai,mail@afcholidays.com,https://www.afcholidays.com,https://www.afcholidays.com/contact-us,GCC-CIS,A,"UAE's 1st escorted group tour company, 28 yrs, 5500+ group departures; Kazakhstan/Uzbekistan/Kyrgyzstan pages; MICE; Arabic among service languages"
Holidaymakers,UAE,"Sharjah (+Dubai, Abu Dhabi)",support@holidaymakers.com,https://holidaymakers.com,https://holidaymakers.com/contact-us,GCC-CIS,A,Multi-branch UAE package operator; KZ/UZ/KG in destinations; group enquiry supports up to 50 adults
Sabsan Holidays,UAE,Sharjah,contact@sabsanholidays.com,https://www.sabsanholidays.com,https://www.sabsanholidays.com/contact-us/,GCC-CIS,A,"SHAMS-licensed; destination lines: Uzbekistan, Kyrgyzstan, Azerbaijan, Armenia, Georgia; UAE+India offices"
Taal Tourism,UAE,Dubai,ask@taaltourism.com,https://taaltourism.com,https://taaltourism.com/kazakhstan-tour-package-from-uae,4N-Almaty,A,Active Almaty package (Kolsai/Charyn); fixed packages line; email in site footer
RAG Tours & Travels,Qatar,Doha,enquiry@ragtoursandtravels.com,https://ragtoursandtravels.com,https://ragtoursandtravels.com/contact-us/,GCC-CIS,B,"IATA agency Doha+Dubai; international tour packages, corporate/group (Canton Fair) departures; secondary email info@ragroup.qa"
